"number","species","date","name"
205,"Ringtrast",1995-05-18,"Ölands norra udde"
204,"Brunand",1995-01-06,"Ölands norra udde"
203,"Tallbit",1994-11-05,"Ölands norra udde"
202,"Smalnäbbad simsnäppa",1994-05-25,"Ölands norra udde"
201,"Blåhake",1994-05-25,"Ölands norra udde"
200,"Dvärgsparv",1994-05-09,"Ölands norra udde"
199,"Jorduggla",1992-10-02,"Ölands norra udde"
198,"Kungsfiskare",1992-10-02,"Ölands norra udde"
197,"Mindre flugsnappare",1991-05-30,"Ölands norra udde"
196,"Stenfalk",1991-05-02,"Ölands norra udde"
195,"Gråsiska",1991-01-26,"Ölands norra udde"
194,"Sångsvan",1990-01-21,"Ölands norra udde"
193,"Fjällvråk",1990-01-21,"Ölands norra udde"
192,"Brun kärrhök",1989-06-15,"Ölands norra udde"
191,"Flodsångare",1989-05-26,"Ölands norra udde"
190,"Amerikansk kricka",1989-04-03,"Ölands norra udde"
189,"Havsörn",1989-01-03,"Ölands norra udde"
188,"Kanadagås",1988-05-30,"Ölands norra udde"
187,"Stjärtmes",1988-05-14,"Ölands norra udde"
186,"Björktrast",1986-05-27,"Ölands norra udde"
185,"Enkelbeckasin",1986-05-24,"Ölands norra udde"
184,"Entita",1986-05-24,"Ölands norra udde"
183,"Grönsångare",1986-05-24,"Ölands norra udde"
182,"Nötväcka",1986-05-24,"Ölands norra udde"
181,"Pilfink",1986-05-24,"Ölands norra udde"
180,"Ängspiplärka",1986-05-24,"Ölands norra udde"
179,"Vittrut",1986-04-13,"Ölands norra udde"
178,"Kattuggla",1985-06-24,"Ölands norra udde"
177,"Järnsparv",1985-05-29,"Ölands norra udde"
176,"Gråsparv",1984-06-19,"Ölands norra udde"
175,"Gräshoppsångare",1984-05-19,"Ölands norra udde"
174,"Bläsand",1984-04-21,"Ölands norra udde"
173,"Sothöna",1984-04-21,"Ölands norra udde"
172,"Duvhök",1983-06-03,"Ölands norra udde"
171,"Kärrsångare",1983-06-01,"Ölands norra udde"
170,"Dubbeltrast",1983-06-01,"Ölands norra udde"
169,"Morkulla",1983-05-14,"Ölands norra udde"
168,"Rödvingetrast",1982-07-10,"Ölands norra udde"
167,"Större hackspett",1981-07-26,"Ölands norra udde"
166,"Kustlabb",1981-05-30,"Ölands norra udde"
165,"Gärdsmyg",1980-07-02,"Ölands norra udde"
164,"Härfågel",1980-05-07,"Ölands norra udde"
163,"Svarthakad buskskvätta",1980-04-05,"Ölands norra udde"
162,"Vinterhämpling",1980-02-20,"Ölands norra udde"
161,"Bändelkorsnäbb",1979-11-15,"Ölands norra udde"
